Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1753093699.7714078,2737,1753108099,676296400,ukd_base,-1.5612014532089233,0.5454036593437195,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093699.7812164,2738,1753108099,696182615,ukd_base,-1.5702747106552124,0.5054191946983337,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093699.8510792,2739,1753108099,740302565,ukd_base,-1.5676817893981934,0.5094932317733765,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093699.8523085,2740,1753108099,782318254,ukd_base,-1.5640283823013306,0.532459557056427,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093699.9255126,2741,1753108099,816026035,ukd_base,-1.5852175951004028,0.5430918335914612,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093699.939514,2742,1753108099,830290244,ukd_base,-1.5727483034133911,0.5905541777610779,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093700.01728,2743,1753108099,876055476,ukd_base,-1.5586352348327637,0.6259469985961914,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093700.0272565,2747,1753108099,966178598,ukd_base,-1.5786553621292114,0.5217296481132507,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093700.0813046,2748,1753108099,998250412,ukd_base,-1.5490574836730957,0.5600530505180359,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093700.0873134,2749,1753108100,26254409,ukd_base,-1.5351418256759644,0.5784957408905029,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093700.1411695,2750,1753108100,66304264,ukd_base,-1.535801887512207,0.5418039560317993,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093700.155142,2751,1753108100,84324292,ukd_base,-1.5330315828323364,0.5596729516983032,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093700.1952746,2752,1753108100,126146002,ukd_base,-1.5122590065002441,0.5528194308280945,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093700.211029,2753,1753108100,144138068,ukd_base,-1.4991958141326904,0.5620647668838501,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093700.277058,2754,1753108100,176100382,ukd_base,-1.5073347091674805,0.5246663093566895,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093700.2783,2756,1753108100,226308834,ukd_base,-1.4384543895721436,0.5704131722450256,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093700.3211522,2757,1753108100,250302440,ukd_base,-1.4607402086257935,0.5038570761680603,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093700.3672068,2758,1753108100,294182503,ukd_base,-1.4397680759429932,0.5075265169143677,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093700.3858626,2759,1753108100,320274646,ukd_base,-1.3933744430541992,0.5541782975196838,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093700.3897336,2760,1753108100,356211907,ukd_base,-1.3598212003707886,0.5886726379394531,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093700.3910637,2761,1753108100,382065682,ukd_base,-1.3227897882461548,0.5805214047431946,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093700.391104,2762,1753108100,405896197,ukd_base,-1.291439414024353,0.5557402968406677,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093700.4085653,2763,1753108100,425985429,ukd_base,-1.2569836378097534,0.5984089374542236,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093700.446291,2764,1753108100,436253210,ukd_base,-1.245016098022461,0.6079246997833252,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093700.4476404,2765,1753108100,464518353,ukd_base,-1.2114627361297607,0.6230722069740295,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093700.4685557,2766,1753108100,485978833,ukd_base,-1.1862889528274536,0.6244624257087708,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093700.4886806,2767,1753108100,505978048,ukd_base,-1.1701362133026123,0.6225252151489258,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093700.5130463,2768,1753108100,518308200,ukd_base,-1.1599785089492798,0.6125895977020264,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093700.5143847,2769,1753108100,531025756,ukd_base,-1.1508421897888184,0.5965316295623779,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093700.528565,2770,1753108100,545970700,ukd_base,-1.1370081901550293,0.5995146632194519,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093700.5385752,2771,1753108100,556124852,ukd_base,-1.1080262660980225,0.6119182109832764,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093700.6252537,2772,1753108100,576221418,ukd_base,-1.0991634130477905,0.5932393074035645,0.0,0.0,0.0,-0.9999964932294784,0.002648306769597775
1753093700.631086,2774,1753108100,620197831,ukd_base,-1.0282468795776367,0.6506757140159607,0.0,0.0,0.0,-0.9999459624943994,0.010395772753830806
1753093700.6615489,2775,1753108100,640216305,ukd_base,-0.999557614326477,0.6581535935401917,0.0,0.0,0.0,-0.9999176128570142,0.012836179273064558
