Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1753093757.0768418,5099,1753108157,12014459,ukd_base,-0.5014516711235046,0.5908306241035461,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093757.0780592,5100,1753108157,40252899,ukd_base,-0.493419885635376,0.5927219390869141,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093757.1392083,5101,1753108157,54265443,ukd_base,-0.4913102388381958,0.5900979042053223,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093757.1465204,5102,1753108157,86160925,ukd_base,-0.5082398653030396,0.5945159196853638,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093757.1965497,5103,1753108157,116142331,ukd_base,-0.49202147126197815,0.6065959334373474,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093757.1983533,5104,1753108157,162129190,ukd_base,-0.5030386447906494,0.5709230899810791,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093757.2265365,5105,1753108157,190276908,ukd_base,-0.49458274245262146,0.5589528679847717,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093757.262482,5106,1753108157,230107265,ukd_base,-0.4701301157474518,0.5792419910430908,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093757.3206673,5107,1753108157,250262719,ukd_base,-0.447406142950058,0.5871849656105042,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093757.3220026,5108,1753108157,276307381,ukd_base,-0.4184947609901428,0.5868985056877136,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093757.3945184,5109,1753108157,294244892,ukd_base,-0.4398585855960846,0.5745329856872559,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093757.3957057,5110,1753108157,316272459,ukd_base,-0.4238162338733673,0.5739927291870117,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093757.45477,5111,1753108157,350263052,ukd_base,-0.3936896026134491,0.5933060646057129,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093757.4646738,5113,1753108157,400224284,ukd_base,-0.3699086904525757,0.6103570461273193,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093757.5067277,5114,1753108157,430210134,ukd_base,-0.38710299134254456,0.6066253781318665,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093757.5267367,5116,1753108157,486165110,ukd_base,-0.3698161244392395,0.6367233395576477,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093757.576729,5117,1753108157,514125959,ukd_base,-0.34016335010528564,0.6305246949195862,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093757.586765,5118,1753108157,536317266,ukd_base,-0.3028128445148468,0.6390358209609985,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093757.6407132,5119,1753108157,566150247,ukd_base,-0.30811870098114014,0.6371088624000549,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093757.6433928,5120,1753108157,592142391,ukd_base,-0.30930468440055847,0.6301582455635071,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093757.6665318,5121,1753108157,614289328,ukd_base,-0.2857688367366791,0.6405259370803833,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093757.6679173,5123,1753108157,660500666,ukd_base,-0.23216648399829865,0.6498363614082336,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093757.71078,5124,1753108157,680107866,ukd_base,-0.2020438015460968,0.6691960096359253,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093757.7545292,5125,1753108157,696272929,ukd_base,-0.18461191654205322,0.6745144128799438,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093757.7558656,5126,1753108157,724328537,ukd_base,-0.1692459136247635,0.6943384408950806,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093757.8006349,5127,1753108157,746271753,ukd_base,-0.1540122628211975,0.7025851607322693,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093757.8666663,5128,1753108157,776270344,ukd_base,-0.1592904031276703,0.7131683230400085,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093757.8680406,5129,1753108157,810101809,ukd_base,-0.13871268928050995,0.7088178992271423,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093757.9106486,5130,1753108157,836138323,ukd_base,-0.09589963406324387,0.7147036790847778,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093757.9120464,5131,1753108157,856330740,ukd_base,-0.07267462462186813,0.7291635274887085,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093757.958779,5132,1753108157,896246818,ukd_base,-0.07348106801509857,0.7305058240890503,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093757.966662,5133,1753108157,926267334,ukd_base,-0.056389208883047104,0.7512408494949341,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093758.0087297,5134,1753108157,960203021,ukd_base,-0.023121356964111328,0.7443845868110657,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093758.0246685,5135,1753108157,984298070,ukd_base,-7.07293365849182e-05,0.7447243332862854,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093758.080614,5136,1753108158,16235811,ukd_base,0.020268598571419716,0.7522419095039368,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093758.0821452,5137,1753108158,36174211,ukd_base,0.018093902617692947,0.7605452537536621,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
1753093758.1325362,5138,1753108158,66078803,ukd_base,0.04016900435090065,0.7312884330749512,0.0,0.0,0.0,-0.9999999999999971,7.549789954891874e-08
